block_id,source_path,artifact_type,run_id,test_family,control_axis,fixed_variable,varied_variable,primary_marker,secondary_markers,status_label,bridge_property,claim_boundary,notes
BMC15,docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md,result_note,geometry_proxy_diagnostics_open,geometry_proxy_diagnostics,graph_construction_family,N81_full_baseline,construction_variant,geometry_proxy_score,geodesic_consistency;local_dimension_proxy;triangle_defect,internal_result,geometry_proxy_compatibility,"Geometry-proxy behavior only; no physical geometry recovery claim.","Primary BMC15 geometry-proxy diagnostic note."
BMC15,runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_geodesic_consistency_summary.csv,summary_csv,geometry_proxy_diagnostics_open,geometry_proxy_diagnostics,graph_construction_family,N81_full_baseline,graph_id,geometry_proxy_score,mean_path_direct_ratio;unreachable_pair_fraction,not_extracted,geodesic_proxy_behavior,"Summary table only; not direct geometry evidence.","One geometry proxy table suitable for later cross-test mapping."
BMC15b,runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_observed_vs_null_distribution_summary.csv,summary_csv,geometry_proxy_null_comparison_open,geometry_proxy_null_comparison,null_family,observed_geometry_proxy,null_graph_family,geometry_proxy_score,geodesic_consistency;embedding;triangle_summary,not_extracted,geometry_proxy_null_specificity,"Null comparison only; no physical geometry claim.","Observed-vs-null geometry proxy distribution summary."
BMC15e,docs/BMC15E_GEOMETRY_CONTROL_NULLS_RESULT_NOTE.md,result_note,geometry_control_nulls_open,geometry_control_nulls,geometry_control_family,node_aligned_reference,control_family,geometry_proxy_score,observed_position;family_summary,internal_result,geometry_proxy_control_position,"Geometry-control diagnostic only.","Relevant control block for BMC15 synthesis."
BMC15f,docs/BMC15F_ENVELOPE_CONSTRUCTION_SENSITIVITY_RESULT_NOTE.md,result_note,envelope_construction_sensitivity_open,envelope_construction_sensitivity,construction_family,reference_core,construction_variant,envelope_core_containment,core_node_containment;core_edge_containment,internal_result,envelope_sensitivity_and_core_containment,"Envelope/core proxy diagnostic only.","Large envelopes treated as construction-sensitive."
BMC15f1,runs/BMC-15f1/node_aligned_envelope_sensitivity_open/core_containment_summary.csv,summary_csv,node_aligned_envelope_sensitivity_open,node_aligned_envelope_sensitivity,node_alignment,top_strength_reference_core,envelope_variant,core_edge_containment,core_containment_fraction;edge_overlap,not_extracted,node_aligned_core_containment,"Containment summary only; no physical geometry claim.","Shows core containment across node-aligned envelope variants."
BMC15f2,runs/BMC-15f2/connectedness_transition_sweep_open/core_containment_summary.csv,summary_csv,connectedness_transition_sweep_open,connectedness_transition_sweep,connectedness_threshold,top_strength_reference_core,connectedness_variant,core_edge_containment,core_containment_fraction;stability_summary,not_extracted,connectedness_sensitivity_of_core_containment,"Transition sweep only.","Relevant for construction-dependence boundary."
BMC15h,docs/BMC15H_STRUCTURED_SPECIFICITY_INITIAL_RESULT_NOTE.md,result_note,structured_specificity_extension_open,structured_specificity_extension,structured_null_family,canonical_real_object,null_family;construction_variant,envelope_core_containment,core_node_containment;core_edge_containment,partial_structured_null_readout,structured_specificity_of_core_envelope_behavior,"Explicitly does not claim spacetime emergence or proof of specificity.","Transfers BMC15e/f/g behavior into structured-null comparison."
BMS_FU01b,runs/BMS-FU01b/c60_core_selection_sensitivity_open/bms_fu01b_real_vs_null_summary.csv,summary_csv,c60_core_selection_sensitivity_open,c60_core_selection_sensitivity,core_selection_null_family,C60_reference,core_variant,envelope_core_containment,core_variant_summary;null_family_inventory,not_extracted,C60_core_selection_sensitivity,"C60 core-selection diagnostic only.","Existing FU01-side C60 control artifact."
BMS_FU02,docs/BMS_FU02_LOAD_BEARING_PATTERN_INITIAL_RESULT_NOTE.md,result_note,load_bearing_pattern_analysis_open,load_bearing_pattern_analysis,null_resistance_profile,motif_family,null_family,arrangement_signal,load_bearing_summary;null_resistance_profiles,internal_result,load_bearing_pattern_specificity,"Motif/load-bearing diagnostic only.","Relevant earlier FU02 bridge-marker pattern block."
BMS_FU02g2,docs/BMS_FU02G2_CARRIER_DIAGNOSTIC_TRANSFER_INITIAL_RESULT_NOTE.md,result_note,carrier_diagnostic_transfer_geometry_controls_open,geometry_class_controls,geometry_class,generic_cell_level_proxy,structure_class,carrier_localization,compactness;boundary_dependence;fu02f1_overlap,completed_generic_proxy_transfer,generic_carrier_proxy_transfer,"Diagnostic transfer only; no chemistry, spacetime, or memory claim.","Generic proxy finds compact carriers but does not recover FU02f1 C60 carrier region."
BMS_FU02g3,docs/BMS_FU02G3_REAL_STRUCTURE_MEMORY_NULL_SPECIFICITY_INITIAL_RESULT_NOTE.md,result_note,real_structure_memory_null_specificity_open,same_C60_null_patch_families,role_colored_C60_patch,FU02f1_reference_carrier,null_patch_family,role_colored_carrier_localization,near;strict;overlap_fraction,initial_result,role_colored_C60_carrier_specificity,"Same-C60 null specificity diagnostic only; not a final real-structure memory claim.","Shows generic FU02g2 proxy low overlap with FU02f1 reference and tests role-colored null cheapness."
BMS_FU02g4,runs/BMS-FU02g4/symmetry_orbit_inspection_c60_reference_open/bms_fu02g4_signature_match_summary.json,summary_json,symmetry_orbit_inspection_c60_reference_open,symmetry_orbit_inspection,C60_automorphism_orbit,FU02f1_reference_carrier,orbit_mapping,face_type_preserving_isomorphic_to_reference,automorphism_orbit_summary;signature_match,not_extracted,symmetry_orbit_equivalence,"C60 symmetry-orbit inspection only.","Relevant for exact/automorphic candidate interpretation."
BMS_FU02g4b,docs/BMS_FU02G4B_EXHAUSTIVE_CONNECTED_PATCH_SIGNATURE_CHECK_INITIAL_BOUNDED_RESULT_NOTE.md,result_note,exhaustive_connected_patch_signature_check_open,connected_patch_signature_check,connected_patch_signature,FU02f1_reference_signature,connected_patch_candidate,near_distance,signature_match;candidate_count,bounded_initial_result,connected_patch_signature_specificity,"Bounded initial result only; not exhaustive full replay certification.","Feeds FU02g4c/FU02g5 near-candidate path."
BMS_FU02g4c,docs/BMS_FU02G4C_CHUNK_0000000_0999999_RESULT_NOTE.md,result_note,orbit_reduced_resumable_connected_patch_enumeration_open,orbit_reduced_connected_patch_enumeration,raw_order_chunk,FU02f1_reference_signature,raw_index_window,near_distance,exact_match;candidate_count,chunk_result,raw_order_candidate_enumeration,"Chunk result only; no full replay guarantee.","One chunk note among multiple FU02g4c orbit-reduced enumeration outputs."
BMS_FU02g5d,docs/BMS_FU02G5D_AUTOMORPHY_ONLY_ROLE_TRANSPORT_RESULT_NOTE.md,result_note,automorphy_only_role_transport,automorphy_only_role_transport,face_type_preserving_isomorphism,FU02f1_reference_carrier,localized_FU02g4c_candidate,role_transport_allowed,mapping_count;mixed_core_transport_invariant;pentagon_boundary_transport_invariant,transport_allowed,role_transport_under_explicit_automorphy,"Only supports role transport where explicit face-type-preserving mapping exists.","Observed mapping_count=1 and transport_allowed=true for localized FU02g4c exact candidate."
BMS_FU02g5e1,runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv,candidate_csv,near_match_localization,near_match_localization,coarse_signature_distance,FU02f1_reference_signature,candidate_window,near_distance,exact_match;candidate_connected;role_colored_signature,not_extracted,near_candidate_localization,"Near-distance screening only; near_distance=0 is not identity or isomorphism.","Provides candidate windows and raw indices for later classification."
BMS_FU02g5e2,runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv,candidate_csv,near_match_decoy_classification,near_match_decoy_classification,exact_and_isomorphism_tests,FU02f1_reference_carrier,near_candidate,near_distance,uncolored_isomorphic_to_reference;face_type_preserving_isomorphic_to_reference;role_transport_allowed,classification_rows,near_match_decoy_boundary,"near_distance=0 is not equivalent to exact match, isomorphism, or transportability.","Contains candidate-level classification including exact mirror and decoy stress cases."
BMS_FU02g5g,docs/BMS_FU02G5G_RAW_ORDER_REPLAY_CERTIFICATION_RESULT_NOTE.md,result_note,fu02g4c_raw_order_replay_certification,raw_order_replay_certification,FU02g4c_log_inventory,FU02g5e1/e2/f_candidates,raw_index,near_distance,exact_match;replay_certification_status;classification_primary,partially_certified,raw_order_replay_certification_boundary,"Certification/recovery audit only; original enumerator was not re-executed.","Candidate_008 partially certified; candidate_005 not certified."
BMS_FU02g5g2,docs/QSB_ABSCHLUSSBERICHT_2026-05-09_FU02G5G2.md,result_note,narrow_per_index_replay_photo_certification,narrow_per_index_replay_photo_certification,raw_index_photo_replay,selected_candidate_raw_index,candidate_id,node_set_agreement,edge_set_agreement;near_distance;role_transport_allowed,certification_note,per_index_replay_photo_boundary,"Does not convert near_distance into identity or isomorphism.","Aggregated FU02g5G2 Abschlussbericht with candidate agreement and near-distance limitations."
BMS_IS01,docs/BMS_IS01_ISOTOPE_STRUCTURE_INITIAL_RESULT_NOTE.md,result_note,isotope_structure_specificity_open,isotope_structure_specificity,isotope_family,hydrogen;carbon;strontium isotopes,null_family,envelope_core_containment,core_edge_containment;core_node_containment;interpretation_label,initial_result,isotope_structure_specificity_under_nulls,"Matter-signature structured-null diagnostic only; no spacetime claim.","Transfers BMC15h logic to isotope/structure matter-signature side."
BMS_IS01,runs/BMS-IS01/isotope_structure_specificity_open/bms_is01_real_vs_null_summary.csv,summary_csv,isotope_structure_specificity_open,isotope_structure_specificity,isotope_family_structured_nulls,reference_core,null_family;construction_variant,envelope_core_edge_containment,envelope_core_node_containment;interpretation_label,not_extracted,isotope_structure_specificity_under_nulls,"Summary table only.","144 real-vs-null summary rows per result note."
BMS_IS01b,docs/BMS_IS01B_FAMILY_BALANCED_RESULT_NOTE.md,result_note,not_extracted,family_balanced_isotope_extension,isotope_family_balance,not_extracted,null_family,envelope_core_containment,core_edge_containment;core_node_containment,initial_result,family_balanced_isotope_specificity,"Family-balanced isotope diagnostic only.","Follow-up control for isotope family balance."
BMS_ST01,docs/BMS_ST01_STRUCTURE_INFORMATION_INITIAL_RESULT_NOTE.md,result_note,structure_information_specificity_open,structure_information_specificity,structure_topology_family,BMC08a_relational_structure_graph,null_family,cross_family_fraction,envelope_core_edge_containment;envelope_core_node_containment;interpretation_label,initial_result,structure_information_specificity_under_nulls,"Structure-information diagnostic only; no spacetime claim.","Transfers BMC15h logic to structure-information axis."
BMS_ST01,runs/BMS-ST01/structure_information_specificity_open/bms_st01_real_vs_null_summary.csv,summary_csv,structure_information_specificity_open,structure_information_specificity,structure_topology_family,reference_core,null_family;construction_variant,cross_family_fraction,envelope_core_edge_containment;envelope_core_node_containment,not_extracted,structure_information_specificity_under_nulls,"Summary table only.","Real-vs-null structure-information summary."
