bridge_property_group,source_block_id,source_path,artifact_type,evidence_role,bound_marker,bound_source_field,bound_status_or_value,supports_pattern,limits_pattern,claim_boundary,open_extraction_gap,next_action,notes
"geometry_proxy_readability","BMC15b","runs/BMC-15b/geometry_proxy_null_comparison_open/bmc15b_observed_vs_null_distribution_summary.csv","summary_csv","control","geometry_proxy_score","01A primary_marker; secondary_markers; claim_boundary","primary_marker=geometry_proxy_score; secondary=geodesic_consistency;embedding;triangle_summary","Binds observed-vs-null geometry proxy comparison as a control context.","Null comparison does not turn proxy scores into physical geometry.","Null comparison only; no physical geometry claim.","Null-family and distribution columns are not bound row-by-row.","Extract null_graph_family and proxy distribution fields later.","Control row for proxy-vs-null readability."
"geometry_proxy_readability","BMC15h","docs/BMC15H_STRUCTURED_SPECIFICITY_INITIAL_RESULT_NOTE.md","result_note","boundary","lambda2_abs","01A marker_axis_map lambda2_abs; 01B marker_extraction_gap","lambda2_abs listed as proxy/spectral marker pending exact extraction","Binds an explicit extraction boundary for spectral proxy markers.","Limits geometry readout because lambda2_abs is not bound to a concrete result row.","Proxy only; not a continuum or dynamics claim.","lambda2_abs has no concrete source column bound in 01A/01B.","Find exact source column in inventoried artifacts before using it as evidence.","Gap-boundary row inside geometry proxy group."
"core_envelope_robustness","BMC14","runs/BMC-14/null_model_feature_control_open/bmc14_null_distribution_summary.csv","summary_csv","control","core_edge_containment","01A primary_marker; secondary_markers; bridge_property","primary_marker=core_edge_containment; secondary=shared_edges;recovery_fraction; bridge_property=core_specificity_under_feature_randomization","Binds core recovery/containment to a null distribution artifact.","Does not bind envelope behavior.","Null distribution summary only.","Distribution rows are not extracted in 01C.","Extract null_model_id and recovery_fraction rows later.","Core-null control row."
"core_envelope_robustness","BMC15f","docs/BMC15F_ENVELOPE_CONSTRUCTION_SENSITIVITY_RESULT_NOTE.md","result_note","support","envelope_core_containment","01A primary_marker; secondary_markers; notes","primary_marker=envelope_core_containment; secondary=core_node_containment;core_edge_containment; notes=large envelopes construction-sensitive","Supports the 01B separation between compact core and larger envelope behavior.","Also limits overreading because envelope construction is sensitive.","Envelope/core proxy diagnostic only.","No per-construction variant values are bound.","Extract construction_family, construction_variant, and containment fractions later.","Core/envelope separation source."
"core_envelope_robustness","BMC15f1","runs/BMC-15f1/node_aligned_envelope_sensitivity_open/core_containment_summary.csv","summary_csv","support","core_edge_containment","01A primary_marker; secondary_markers; bridge_property","primary_marker=core_edge_containment; secondary=core_containment_fraction;edge_overlap; bridge_property=node_aligned_core_containment","Binds node-aligned core containment as a concrete summary artifact.","Does not bind all node-aligned variants in this table.","Containment summary only; no physical geometry claim.","Variant-level values remain unextracted.","Bind envelope_variant and core_containment_fraction rows later.","Concrete summary path for core containment."
"core_envelope_robustness","BMC15f2","runs/BMC-15f2/connectedness_transition_sweep_open/core_containment_summary.csv","summary_csv","limitation","core_edge_containment","01A control_axis; primary_marker; notes","control_axis=connectedness_threshold; primary_marker=core_edge_containment; notes=construction-dependence boundary","Binds connectedness sensitivity as a limitation on core/envelope robustness.","Shows robustness claims must be conditioned on connectedness and construction choices.","Transition sweep only.","No transition-threshold row values are bound in 01C.","Extract connectedness_variant and containment fraction rows later.","Boundary row for construction dependence."
"carrier_role_transport_specificity","BMS_FU02g2","docs/BMS_FU02G2_CARRIER_DIAGNOSTIC_TRANSFER_INITIAL_RESULT_NOTE.md","result_note","limitation","carrier_localization","01A primary_marker; secondary_markers; notes","primary_marker=carrier_localization; secondary=compactness;boundary_dependence;fu02f1_overlap; notes=generic proxy does not recover FU02f1 region","Limits role-transport synthesis by showing generic carrier proxy is insufficient.","C60 proxy selection is diagnostic transfer only.","Diagnostic transfer only; no chemistry, spacetime, or memory claim.","fu02f1_overlap value is not re-extracted as a source column here.","Bind FU02g2 structure summary fields if later needed.","C60 is a testbed and generic proxy is not the role gate."
"carrier_role_transport_specificity","BMS_FU02g5d","docs/BMS_FU02G5D_AUTOMORPHY_ONLY_ROLE_TRANSPORT_RESULT_NOTE.md","result_note","support","role_transport_allowed","01A primary_marker; secondary_markers; status_label","primary_marker=role_transport_allowed; secondary=mapping_count;mixed_core_transport_invariant;pentagon_boundary_transport_invariant; status=transport_allowed","Supports the conservative role-transport gate when explicit face-type-preserving mapping exists.","Does not license transport for arbitrary near candidates.","Only supports role transport where explicit face-type-preserving mapping exists.","Mapping rows are not re-bound in 01C.","Extract mapping_count and transported role-set invariance fields later.","Main support row for role transport."
"carrier_role_transport_specificity","BMS_FU02g5e1","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv","candidate_csv","boundary","near_distance","01A primary_marker; claim_boundary","primary_marker=near_distance; boundary=near-distance screening only","Binds near-distance as a screening artifact for candidate localization.","Explicitly limits any identity or isomorphism interpretation.","Near-distance screening only; near_distance=0 is not identity or isomorphism.","Candidate-level near_distance values are not extracted here.","Build candidate-level gate table with raw_index and near_distance.","Protects against near_distance overread."
"carrier_role_transport_specificity","BMS_FU02g5e2","runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv","candidate_csv","control","face_type_preserving_isomorphic_to_reference","01A secondary_markers; claim_boundary","secondary=uncolored_isomorphic_to_reference;face_type_preserving_isomorphic_to_reference;role_transport_allowed; boundary=near_distance=0 not exact/isomorphic/transportable","Binds exact/isomorphism tests as controls for candidate classification.","Shows near candidates can be decoys and transport-blocked.","near_distance=0 is not equivalent to exact match, isomorphism, or transportability.","Individual candidate classes are not row-bound in 01C.","Extract candidate_id, near_distance, typed isomorphism, and role_transport_allowed later.","Candidate classification control row."
"replay_certification_boundary","BMS_FU02g4c","docs/BMS_FU02G4C_CHUNK_0000000_0999999_RESULT_NOTE.md","result_note","boundary","near_distance","01A primary_marker; secondary_markers; claim_boundary","primary_marker=near_distance; secondary=exact_match;candidate_count; boundary=chunk result only","Binds raw-order chunk evidence as part of the replay ladder.","Limits full replay claims because a chunk is not a full replay.","Chunk result only; no full replay guarantee.","Other chunks and raw-order coverage are not bound here.","Build a replay coverage table across inventoried FU02g4c artifacts later.","Chunk-level boundary."
"replay_certification_boundary","BMS_FU02g5e2","runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv","candidate_csv","control","exact_match","01A secondary_markers; claim_boundary","secondary=uncolored_isomorphic_to_reference;face_type_preserving_isomorphic_to_reference;role_transport_allowed; boundary=near_distance=0 not exact/isomorphic/transportable","Binds classification tests before replay certification is interpreted.","Limits replay claims by separating exactness, isomorphism, and transport.","near_distance=0 is not equivalent to exact match, isomorphism, or transportability.","Candidate-level exact_match values are not extracted in 01C.","Extract exact_match and isomorphism columns by candidate later.","Control row for certification interpretation."
"replay_certification_boundary","BMS_FU02g5g","docs/BMS_FU02G5G_RAW_ORDER_REPLAY_CERTIFICATION_RESULT_NOTE.md","result_note","limitation","replay_certification_status","01A status_label; secondary_markers; notes","status=partially_certified; secondary=exact_match;replay_certification_status;classification_primary; notes=original enumerator was not re-executed","Binds partial certification as evidence for a stratified replay ladder.","Explicitly limits full raw-order replay claims.","Certification/recovery audit only; original enumerator was not re-executed.","Underlying candidate_replay_certification rows are not bound in 01C.","Extract raw_index, candidate_id, and certification status rows later.","Key replay limitation row."
"replay_certification_boundary","BMS_FU02g5g2","docs/QSB_ABSCHLUSSBERICHT_2026-05-09_FU02G5G2.md","result_note","support","node_set_agreement","01A primary_marker; secondary_markers; claim_boundary","primary_marker=node_set_agreement; secondary=edge_set_agreement;near_distance;role_transport_allowed","Binds per-index photo/replay agreement markers to the certification boundary group.","Still does not convert near_distance into identity or isomorphism.","Does not convert near_distance into identity or isomorphism.","Candidate-level agreement rows are not re-extracted in 01C.","Extract node_set_agreement and edge_set_agreement by candidate/raw index later.","Support-with-boundary row."
"isotope_structure_information_axis","BMS_IS01","docs/BMS_IS01_ISOTOPE_STRUCTURE_INITIAL_RESULT_NOTE.md","result_note","support","envelope_core_containment","01A primary_marker; secondary_markers; claim_boundary","primary_marker=envelope_core_containment; secondary=core_edge_containment;core_node_containment;interpretation_label","Binds isotope-structure axis to BMC15h-style structured-null diagnostics.","Does not confirm a physical theory.","Matter-signature structured-null diagnostic only; no spacetime claim.","Metric rows and interpretation labels are not re-bound here.","Extract BMS_IS01 metric_name, construction_variant, and interpretation_label later.","Isotope axis result-note binding."
"isotope_structure_information_axis","BMS_IS01b","docs/BMS_IS01B_FAMILY_BALANCED_RESULT_NOTE.md","result_note","control","core_edge_containment","01A test_family; primary_marker; status_label","test_family=family_balanced_isotope_extension; primary_marker=envelope_core_containment; status=initial_result","Binds family-balanced isotope extension as a control axis.","Does not resolve all family-balance effects in this table.","Family-balanced isotope diagnostic only.","01A did not extract detailed family-balanced rows.","Bind family-balanced summary rows later if needed.","Control row for isotope-family balance."
"isotope_structure_information_axis","BMS_ST01","docs/BMS_ST01_STRUCTURE_INFORMATION_INITIAL_RESULT_NOTE.md","result_note","support","cross_family_fraction","01A primary_marker; secondary_markers; claim_boundary","primary_marker=cross_family_fraction; secondary=envelope_core_edge_containment;envelope_core_node_containment;interpretation_label","Binds structure-information axis as a separate structured-null diagnostic.","Does not translate structure-information behavior into de-Broglie confirmation.","Structure-information diagnostic only; no spacetime claim.","Per-null-family interpretation labels are not bound in 01C.","Extract cross_family_fraction and interpretation_label rows later.","Structure-information axis binding."
"isotope_structure_information_axis","BMC15h","docs/BMC15H_STRUCTURED_SPECIFICITY_INITIAL_RESULT_NOTE.md","result_note","boundary","core_node_containment","01A claim_boundary; primary_marker; secondary_markers","boundary=does not claim spacetime emergence or proof of specificity; primary=envelope_core_containment; secondary=core_node_containment;core_edge_containment","Binds the shared structured-null diagnostic template used by isotope and structure axes.","Limits cross-axis interpretation because BMC15h itself is not proof of specificity.","Explicitly does not claim spacetime emergence or proof of specificity.","Shared schema fields are not harmonized across axes in 01C.","Create cross-axis schema for null_family, metric_name, construction_variant, and interpretation_label.","Shared-boundary row."
"marker_extraction_gap","BMC15","docs/BMC15_GEOMETRY_PROXY_DIAGNOSTICS_RESULT_NOTE.md","result_note","gap","weighted_clustering","01A marker_axis_map weighted_clustering; 01B marker_extraction_gap","weighted_clustering relevant_blocks=uncertain; not enough extraction to bind to a specific result row","Does not support the pattern yet; it identifies a source-column binding gap.","Limits geometry synthesis because weighted_clustering is not evidence-bound.","Not enough extraction in this inventory to bind to a specific result row.","No concrete BMC15 source field is bound for weighted_clustering.","Perform narrow source-column extraction from inventoried artifacts only.","Gap row, not support."
"marker_extraction_gap","BMC15","runs/BMC-15/geometry_proxy_diagnostics_open/bmc15_geodesic_consistency_summary.csv","summary_csv","gap","lambda2_abs","01A marker_axis_map lambda2_abs; 01B marker_extraction_gap","lambda2_abs relevant_blocks=uncertain; pending exact artifact extraction","Does not support the pattern yet; it marks spectral proxy extraction as incomplete.","Limits use of spectral/connectivity language in synthesis.","Proxy only; not a continuum or dynamics claim.","No concrete lambda2_abs column is bound in 01A/01B.","Bind exact spectral/connectivity field before interpretation.","Gap row, not support."
"marker_extraction_gap","BMC14d","docs/BMC14D_COVARIANCE_STRUCTURED_NULL_CONTROLS_RESULT_NOTE.md","result_note","gap","rho_pos","01A marker_axis_map rho_pos; 01B marker_extraction_gap","rho_pos mapped to covariance/copula objection context, not exact source column","Does not support a claim; it flags correlation-component binding work.","Limits covariance/correlation interpretation until exact fields are bound.","Correlation component only; no causal interpretation.","rho_pos has no concrete source field in 01C.","Search only inventoried BMC14d/BMC14e artifacts for exact rho columns later.","Gap row, not support."
"marker_extraction_gap","BMC14e","docs/BMC14E_DEGREE_COPULA_STRUCTURED_NULLS_RESULT_NOTE.md","result_note","gap","chi_alpha","01A marker_axis_map chi_alpha; 01B marker_extraction_gap","chi_alpha relevant_blocks=uncertain; not enough extraction to bind to a specific result row","Does not support a pattern; it prevents alpha-style overread.","Limits statistical significance language without explicit null-family and sample design.","Not enough extraction in this inventory to bind to a specific result row.","No concrete chi_alpha source field is bound in 01C.","Bind alpha/test fields only after locating exact columns in inventoried artifacts.","Gap row, not support."
