binding_id,source_block,source_path,artifact_type,proxy_component,marker_name,source_column_or_section,bound_status_or_value,binding_status,support_role,limits_readout,claim_boundary,open_gap,next_action,notes
"G03B_011","BMC15e","runs/BMC-15e/geometry_control_nulls_open/observed_position_summary_refined.csv","summary_csv_refined","geometry_proxy_score","geometry_control_position","observed_object;control_family;dimension;weight_mode;metric;observed_value;control_min;control_median;control_max;position_label;position_label_refined","BMC15e refined observed-position summary binds geometry-control position labels for triangle_defects, geodesic_consistency_error, local_dimension_proxy, embedding stress, and eigenvalue burden.","source_bound","control_context","Geometry-generated controls are comparison anchors; they do not convert proxy compatibility into physical geometry.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Only simple Euclidean-style MVP controls were active; hyperbolic or hierarchical controls remain future work.","Use refined labels after embedding-stress reclassification.","BMC15e positive-control context row."
"G03B_012","BMC15e","runs/BMC-15e/geometry_control_nulls_open/observed_position_summary_refined.csv","summary_csv_refined","geodesic_consistency","geodesic_consistency_error","metric=geodesic_consistency_error;observed_value;control_min;control_median;control_max;position_label_refined","Result note states all geodesic-consistency directional comparisons lie within the geometry-control range; CSV binds per-object/control rows.","source_bound","bounds_proxy_readability","Within-control-range position supports compatibility, not uniqueness or physical geometry.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","Disconnected mutual_kNN envelope must be read cautiously.","If expanded later, group by observed_object/control_family/dimension/weight_mode.","BMC15e control-position row."
"G03B_013","BMC15e","runs/BMC-15e/geometry_control_nulls_open/observed_position_summary_refined.csv","summary_csv_refined","triangle_defect","triangle_defects","metric=triangle_defects;observed_value;control_min;control_median;control_max;position_label_refined","Result note states triangle-defect comparisons are all-zero equivalent; CSV binds observed_geometry_control_equivalent rows.","source_bound","bounds_proxy_readability","All-zero equivalence is a sanity/control result, not a physical metric result.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No curvature or causal structure follows.","Preserve metric name triangle_defects and position label.","BMC15e geometry-control triangle row."
"G03B_014","BMC15e","runs/BMC-15e/geometry_control_nulls_open/observed_position_summary_refined.csv","summary_csv_refined","local_dimension_proxy","local_dimension_proxy","metric=local_dimension_proxy;observed_value;control_min;control_median;control_max;position_label_refined","local_dimension_proxy rows are source-bound but treated as not_directional in BMC15e refinement.","source_bound","limitation","Non-directional control position prevents using this proxy as an evidence-ranking claim.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No physical dimension follows from this proxy.","Keep not_directional label attached.","BMC15e local-dimension control row."
"G03B_015","BMC15h","runs/BMC-15h/structured_specificity_extension_open/bmc15h_real_vs_null_summary.csv","summary_csv","envelope_core_containment","envelope_core_edge_containment;envelope_core_node_containment","metric_name;construction_family;construction_variant;null_family;real_value;null_mean;real_minus_null_mean;empirical_exceedance_fraction;interpretation_label","Source-bound structured specificity rows include envelope_core_edge_containment and envelope_core_node_containment across constructions and null families.","source_bound","supports_proxy_readability","Containment is graph/envelope behavior and can be reproduced in broader or less selective constructions.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry; Core/Envelope-Containment is graph behavior only.","Construction dependence remains central.","Use metric_name rather than umbrella envelope_core_containment in later tables.","Concrete BMC15h containment source binding."
"G03B_016","BMC15h","runs/BMC-15h/structured_specificity_extension_open/bmc15h_core_metrics.csv","summary_csv","core_edge_containment","core_edge_retention","object_role;construction_family;construction_variant;core_edge_retention;core_node_retention;core_connected;core_component_count;core_weight_rank_stability","Source-bound core metrics for real canonical constructions include core_edge_retention=1.0 and core_node_retention=1.0 rows.","source_bound","supports_proxy_readability","Core retention is graph-method behavior and does not establish physical containment or physical core identity.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry; Core/Envelope-Containment is graph behavior only.","Warning_count remains attached to rows and optional envelope references were missing in result note context.","Use with envelope metrics and real-vs-null summary, not alone.","Maps core_edge_containment to concrete core_edge_retention field."
"G03B_017","BMC15h","runs/BMC-15h/structured_specificity_extension_open/bmc15h_envelope_metrics.csv","summary_csv","core_node_containment","envelope_core_node_containment","object_role;construction_family;construction_variant;envelope_node_count;envelope_edge_count;envelope_core_edge_containment;envelope_core_node_containment;envelope_connected;envelope_component_count","Source-bound envelope metrics include envelope_core_edge_containment and envelope_core_node_containment for real canonical envelope constructions.","source_bound","supports_proxy_readability","Node containment alone can overstate structure; edge containment and construction family must remain attached.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry; Core/Envelope-Containment is graph behavior only.","Broad envelope constructions can be less specific.","Pair node containment with edge containment and construction_variant.","Maps core_node_containment to envelope_core_node_containment context."
"G03B_018","BMC14d","runs/BMC-14d/covariance_structured_null_controls_open/bmc14d_null_distribution_summary.csv","summary_csv","core_edge_containment","observed_core_recovery_fraction","null_model_id;null_family;metric;replicate_count;observed_value;null_mean;null_q95;null_max;p_like_upper_tail","BMC14d source-binds observed_core_shared_edges, observed_core_jaccard, and observed_core_recovery_fraction under covariance and weight-rank controls.","source_bound","control_context","Core recovery metrics are graph-method diagnostic controls, not physical geometry or universal specificity proof.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry; Core/Envelope-Containment is graph behavior only.","rho_pos/rho_neg remain concept-only; no direct rho columns were found here.","Keep null_family and metric explicit.","BMC14d control context for core_edge_containment."
"G03B_019","BMC14e","runs/BMC-14e/degree_copula_structured_nulls_open/bmc14e_null_distribution_summary.csv","summary_csv","core_edge_containment","observed_core_recovery_fraction","null_model_id;null_family;metric;replicate_count;observed_value;null_mean;null_q95;null_max;p_like_upper_tail","BMC14e source-binds core recovery metrics under degree-preserving, degree-weightclass, and gaussian-copula controls.","source_bound","control_context","Degree/copula controls bound interpretation but do not establish global non-genericity or physical geometry.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry; Core/Envelope-Containment is graph behavior only.","rho_pos/rho_neg remain concept-only; no direct rho columns were found here.","Keep degree/copula family boundary attached.","BMC14e control context for core_edge_containment."
"G03B_020","uncertain","data/qsb_bridge_synth_01d_proxy_marker_source_binding.csv","binding_table","weighted_clustering","weighted_clustering","not_extracted","01D marks weighted_clustering as gap_marker_unbound/gap_only with no concrete source column found in the bounded read set.","gap_only","gap_marker_exclusion","weighted_clustering cannot carry evidential load until source-bound.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No concrete BMC15/BMC15b/BMC15e/BMC15h/BMC14d/BMC14e source column was found in this 03B pass.","Perform a separate narrow source-column extraction only if needed.","Gap marker, not evidence."
"G03B_021","uncertain","data/qsb_bridge_synth_01d_proxy_marker_source_binding.csv","binding_table","lambda2_abs","lambda2_abs","not_extracted","01D marks lambda2_abs as gap_marker_unbound/gap_only with no concrete source column found in the bounded read set.","gap_only","gap_marker_exclusion","lambda2_abs cannot carry evidential load until source-bound.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No concrete lambda2_abs source column was found in this 03B pass; connectedness/eigenvalue proxies in BMC15 are not the same named marker.","Bind only if an explicit lambda2_abs column or unambiguous section is located later.","Gap marker, not evidence."
"G03B_022","uncertain","data/qsb_bridge_synth_01d_proxy_marker_source_binding.csv","binding_table","chi_alpha","chi_alpha","not_extracted","01D marks chi_alpha as gap_marker_unbound/gap_only with no concrete chi_alpha column found in the bounded read set.","gap_only","gap_marker_exclusion","chi_alpha cannot carry evidential load without explicit null-family/test design binding.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No concrete chi_alpha source column was found in this 03B pass.","Bind only if an explicit chi_alpha column or section is located later.","Gap marker, not evidence."
"G03B_023","BMC14d","docs/BMC14D_COVARIANCE_STRUCTURED_NULL_CONTROLS_RESULT_NOTE.md","result_note","rho_pos","rho_pos","Result-note covariance control context","rho_pos remains conceptually mapped to positive association/rank/covariance context but no concrete source column is bound.","concept_only","not_evidence","rho_pos is not evidence-bearing in the 03B binding table.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No concrete rho_pos source column was found in BMC14d/BMC14e/BMC15h artifacts inspected here.","Bind only if an explicit rho_pos column or unambiguous source section is located.","Concept marker retained as boundary only."
"G03B_024","BMC14e","docs/BMC14E_DEGREE_COPULA_STRUCTURED_NULLS_RESULT_NOTE.md","result_note","rho_neg","rho_neg","Result-note degree/copula control context","rho_neg remains conceptually mapped to negative association/rank/covariance context but no concrete source column is bound.","concept_only","not_evidence","rho_neg is not evidence-bearing in the 03B binding table.","geometry proxy is graph-diagnostic proxy behavior, not physical geometry.","No concrete rho_neg source column was found in BMC14d/BMC14e/BMC15h artifacts inspected here.","Bind only if an explicit rho_neg column or unambiguous source section is located.","Concept marker retained as boundary only."
