query,path,line_number,excerpt,evidence_type,trace_relevance,claim_boundary
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,148,"if value==1: accepted.add(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,205,"""shape"":""42x42"" if readable[matrix_id] else ""unreadable"",""row_label_status"":""explicit_pair_ids_or_frozen_pair_basis"",""column_label_status"":""explicit_pair_ids_or_frozen_pair_basis"",",candidate_column_name,medium,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,51,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"",FILES[17],FILES[23])}",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,52,"EDGE_PATH=A/""16_edge_candidate_result.csv""",direct_output_filename,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,76,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,76,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,150,"raw=row.get(""edge_candidate_flag"","""").strip().lower();parse_status=""clear_accepted"" if raw in accepted_tokens else ""clear_not_accepted"" if raw in {""0"",""false"",""no"",""rejected"",""absent"",""inactive""} else ""ambiguous_not_accepted""",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,151,"is_accepted=raw in accepted_tokens and row.get(""pair_a"") in idx and row.get(""pair_b"") in idx",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,151,"is_accepted=raw in accepted_tokens and row.get(""pair_a"") in idx and row.get(""pair_b"") in idx",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,153,"key=""--"".join(sorted((row.get(""pair_a"",""""),row.get(""pair_b"",""""))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,153,"key=""--"".join(sorted((row.get(""pair_a"",""""),row.get(""pair_b"",""""))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,154,"parse_rows.append({""edge_row_id"":row_id,""endpoint_a"":row.get(""pair_a""),""endpoint_b"":row.get(""pair_b""),",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,154,"parse_rows.append({""edge_row_id"":row_id,""endpoint_a"":row.get(""pair_a""),""endpoint_b"":row.get(""pair_b""),",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,155,"""raw_status_fields"":f""edge_candidate_flag={row.get('edge_candidate_flag')};diagonal={row.get('diagonal')};theta_edge={row.get('theta_edge')}"",",threshold_candidate,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,155,"""raw_status_fields"":f""edge_candidate_flag={row.get('edge_candidate_flag')};diagonal={row.get('diagonal')};theta_edge={row.get('theta_edge')}"",",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,158,"a,b=sorted((row[""pair_a""],row[""pair_b""]));accepted.add((a,b));i,j=idx[a],idx[b];edge_matrix[i,j]=edge_matrix[j,i]=1",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,158,"a,b=sorted((row[""pair_a""],row[""pair_b""]));accepted.add((a,b));i,j=idx[a],idx[b];edge_matrix[i,j]=edge_matrix[j,i]=1",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,54,"""14_shortest_path_D_matrix.csv"", ""15_strength_matrix.csv"", ""16_edge_candidate_result.csv"",",direct_output_filename,high,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,98,"writer = csv.DictWriter(handle, fieldnames=fields, extrasaction=""ignore"")",script_writer,high,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,100,writer.writerows(rows),script_writer,high,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,179,"fail(""extract03a_r1_blocked_invalid_frozen_decisions"", ""frozen K/ell_0/epsilon_Gram/theta_edge mismatch"")",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,211,"pair_basis_hash = hashlib.sha256((""\n"".join(pair_ids) + ""\n"").encode()).hexdigest()",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,212,"if pair_basis_hash != ""51962668d944195bb1409a5f9d6972636c660184aa6be3ab530a3d980cf96e32"":",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,331,"{""contract_item"": ""canonical_pair_basis"", ""path"": rel(S1 / ""06_canonical_pair_basis_review.csv""), ""observed_value"": pair_basis_hash, ""expected_value"": ""51962668d944195bb1409a5f9d6972636c660184aa6be3ab530a3d980cf96e32"", ""sha256"": sha(S1 / ""06_canonical_pair_bas",candidate_column_name,medium,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,359,"write_csv(FILES[14], [""row_pair_id"", ""column_pair_id"", ""relation_strength"", ""lineage_bundle_sha256""], matrix_rows(strength, ""relation_strength""))",script_writer,high,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",threshold_candidate,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",threshold_candidate,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",threshold_candidate,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",candidate_column_name,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03b/result_review_human_summary.py,76,"writer = csv.DictWriter(handle, fieldnames=fields, extrasaction=""ignore"")",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03b/result_review_human_summary.py,78,writer.writerows(rows),script_writer,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03b/result_review_human_summary.py,106,"A / ""15_strength_matrix.csv"", A / ""16_edge_candidate_result.csv"",",direct_output_filename,medium,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03b/result_review_human_summary.py,160,"strength_rows, strengths, s_rids, s_cids, s_diag = matrix_review(""15_strength_matrix.csv"", ""relation_strength"")",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03b/result_review_human_summary.py,198,"edge_rows = read_csv(""16_edge_candidate_result.csv"")",direct_output_filename,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03b/result_review_human_summary.py,199,"edge_count = sum(int(row[""edge_candidate_flag""]) for row in edge_rows)",candidate_column_name,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03b/result_review_human_summary.py,208,"(""theta_edge"", edge_rows[0][""theta_edge""], ""pass"", ""Imported frozen value; no tuning.""),",threshold_candidate,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,101,"writer = csv.DictWriter(handle, fieldnames=fields, extrasaction=""ignore"")",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,103,writer.writerows(rows),script_writer,medium,trace_resolution_only_no_physics_claim
abs_delta,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,140,"""K_offdiag_std"":float(offdiag.std(ddof=0)),""K_symmetry_max_abs_delta"":float(np.max(np.abs(matrix-matrix.T))),",irrelevant_or_weak,low,trace_resolution_only_no_physics_claim
abs_delta,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,156,"""D_symmetry_max_abs_delta"":float(np.max(np.abs(matrix-matrix.T))),",irrelevant_or_weak,low,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,195,"""strength_matrix"":A/""15_strength_matrix.csv"",""edge_candidate_result"":A/""16_edge_candidate_result.csv"",",direct_output_filename,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,272,"key=tuple(sorted((row[""pair_a""],row[""pair_b""])))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,272,"key=tuple(sorted((row[""pair_a""],row[""pair_b""])))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,273,"record=(key[0],key[1],int(row[""edge_candidate_flag""]))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,396,"{""policy_item"":""calibration_retuning"",""observed_value"":""not performed"",""expected_value"":""not performed"",""status"":""pass"",""blocking"":""yes"",""notes"":""Thresholds remain 0.80/0.60 and theta_edge unchanged.""},",threshold_candidate,medium,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03d/block_mechanism_review.py,48,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"")}",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03d/block_mechanism_review.py,49,"EDGE=A/""16_edge_candidate_result.csv""",direct_output_filename,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03d/block_mechanism_review.py,68,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03d/block_mechanism_review.py,68,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03d/block_mechanism_review.py,107,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}:fail(""extract03d_blocked_no_readable_matrices"",""edge parse gap"")",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,107,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}:fail(""extract03d_blocked_no_readable_matrices"",""edge parse gap"")",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,107,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}:fail(""extract03d_blocked_no_readable_matrices"",""edge parse gap"")",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03d/block_mechanism_review.py,108,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,108,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,108,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,109,"if value:accepted.append(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,109,"if value:accepted.append(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",candidate_column_name,medium,trace_resolution_only_no_physics_claim
16_edge_candidate_result,scripts/qsb_extract03e/perfection_origin_review.py,49,"S_PATH=A/""15_strength_matrix.csv"";EDGE_PATH=A/""16_edge_candidate_result.csv"";VECTOR_SUMMARY=A/""10_phase_response_vector_summary.csv"";MART=A/""21_extract03a_r1_result_mart.sqlite""",direct_output_filename,medium,trace_resolution_only_no_physics_claim
DictWriter,scripts/qsb_extract03e/perfection_origin_review.py,72,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
writerow,scripts/qsb_extract03e/perfection_origin_review.py,72,"w=csv.DictWriter(f,fieldnames=fields,extrasaction=""ignore"");w.writeheader();w.writerows(rows)",script_writer,medium,trace_resolution_only_no_physics_claim
relation_strength,scripts/qsb_extract03e/perfection_origin_review.py,107,"K,krows=read_matrix(K_PATH,""K_candidate"",pairs);d,drows=read_matrix(D_PATH,""d_cost_candidate"",pairs);Dp,Drows=read_matrix(SP_PATH,""D_shortest_path_candidate"",pairs);strength,srows=read_matrix(S_PATH,""relation_strength"",pairs)",candidate_column_name,medium,trace_resolution_only_no_physics_claim
edge_candidate_flag,scripts/qsb_extract03e/perfection_origin_review.py,111,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value;accepted+=int(value)",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_a,scripts/qsb_extract03e/perfection_origin_review.py,111,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value;accepted+=int(value)",candidate_column_name,medium,trace_resolution_only_no_physics_claim
pair_b,scripts/qsb_extract03e/perfection_origin_review.py,111,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value;accepted+=int(value)",candidate_column_name,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03e/perfection_origin_review.py,169,"{""code_artifact"":rel(PACKAGE_SCRIPT),""rule_or_function"":""frozen package contracts"",""observed_logic_summary"":""Defines normalization, K dot-product, d/strength, theta_edge contracts; package itself executes none."",""could_create_perfection"":""contract definitions ",threshold_candidate,medium,trace_resolution_only_no_physics_claim
theta_edge,scripts/qsb_extract03e/perfection_origin_review.py,218,"(""E03E-C05"",""edge_threshold_sensitivity_review"",""Assess clique dependence on threshold without replacing base result"",""yes"",""yes"",""Prospective threshold-stability map"",""medium"",""Cannot retroactively tune theta_edge.""),",threshold_candidate,medium,trace_resolution_only_no_physics_claim
