column_name,found_in_path,line_number,excerpt,source_type,assessment
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",direct_generator,direct_column_contract
pair_a,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",direct_generator,direct_column_contract
pair_a,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,272,"key=tuple(sorted((row[""pair_a""],row[""pair_b""])))",context,context_trace
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,107,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}:fail(""extract03d_blocked_no_readable_matrices"",""edge parse gap"")",context,context_trace
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,108,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value",context,context_trace
pair_a,scripts/qsb_extract03d/block_mechanism_review.py,109,"if value:accepted.append(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",context,context_trace
pair_a,scripts/qsb_extract03e/perfection_origin_review.py,111,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value;accepted+=int(value)",context,context_trace
pair_b,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",artifact,artifact_column_presence
pair_b,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",context,context_trace
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,146,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}: edge_parse_ok=False; continue",context,context_trace
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,147,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]]; value=float(row[""edge_candidate_flag""]); edge_matrix[i,j]=value; edge_matrix[j,i]=value",context,context_trace
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,148,"if value==1: accepted.add(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",context,context_trace
pair_b,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,205,"""shape"":""42x42"" if readable[matrix_id] else ""unreadable"",""row_label_status"":""explicit_pair_ids_or_frozen_pair_basis"",""column_label_status"":""explicit_pair_ids_or_frozen_pair_basis"",",context,context_trace
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,151,"is_accepted=raw in accepted_tokens and row.get(""pair_a"") in idx and row.get(""pair_b"") in idx",context,context_trace
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,153,"key=""--"".join(sorted((row.get(""pair_a"",""""),row.get(""pair_b"",""""))))",context,context_trace
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,154,"parse_rows.append({""edge_row_id"":row_id,""endpoint_a"":row.get(""pair_a""),""endpoint_b"":row.get(""pair_b""),",context,context_trace
pair_b,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,158,"a,b=sorted((row[""pair_a""],row[""pair_b""]));accepted.add((a,b));i,j=idx[a],idx[b];edge_matrix[i,j]=edge_matrix[j,i]=1",context,context_trace
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,211,"pair_basis_hash = hashlib.sha256((""\n"".join(pair_ids) + ""\n"").encode()).hexdigest()",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,212,"if pair_basis_hash != ""51962668d944195bb1409a5f9d6972636c660184aa6be3ab530a3d980cf96e32"":",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,331,"{""contract_item"": ""canonical_pair_basis"", ""path"": rel(S1 / ""06_canonical_pair_basis_review.csv""), ""observed_value"": pair_basis_hash, ""expected_value"": ""51962668d944195bb1409a5f9d6972636c660184aa6be3ab530a3d980cf96e32"", ""sha256"": sha(S1 / ""06_canonical_pair_bas",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",direct_generator,direct_column_contract
pair_b,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,272,"key=tuple(sorted((row[""pair_a""],row[""pair_b""])))",context,context_trace
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,107,"if row[""pair_a""] not in idx or row[""pair_b""] not in idx or row[""edge_candidate_flag""] not in {""0"",""1""}:fail(""extract03d_blocked_no_readable_matrices"",""edge parse gap"")",context,context_trace
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,108,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value",context,context_trace
pair_b,scripts/qsb_extract03d/block_mechanism_review.py,109,"if value:accepted.append(tuple(sorted((row[""pair_a""],row[""pair_b""]))))",context,context_trace
pair_b,scripts/qsb_extract03e/perfection_origin_review.py,111,"i,j=idx[row[""pair_a""]],idx[row[""pair_b""]];value=float(row[""edge_candidate_flag""]);edge[i,j]=edge[j,i]=value;accepted+=int(value)",context,context_trace
relation_strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,1,"row_pair_id,column_pair_id,relation_strength,lineage_bundle_sha256",artifact,artifact_column_presence
relation_strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,50,"""strength"": (A/""15_strength_matrix.csv"", ""relation_strength"", [FILES[19],FILES[20],FILES[21]], FILES[28]),",context,context_trace
relation_strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,51,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"",FILES[17],FILES[23])}",context,context_trace
relation_strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,359,"write_csv(FILES[14], [""row_pair_id"", ""column_pair_id"", ""relation_strength"", ""lineage_bundle_sha256""], matrix_rows(strength, ""relation_strength""))",direct_generator,direct_column_contract
relation_strength,scripts/qsb_extract03b/result_review_human_summary.py,160,"strength_rows, strengths, s_rids, s_cids, s_diag = matrix_review(""15_strength_matrix.csv"", ""relation_strength"")",context,context_trace
relation_strength,scripts/qsb_extract03d/block_mechanism_review.py,48,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"")}",context,context_trace
relation_strength,scripts/qsb_extract03e/perfection_origin_review.py,107,"K,krows=read_matrix(K_PATH,""K_candidate"",pairs);d,drows=read_matrix(D_PATH,""d_cost_candidate"",pairs);Dp,Drows=read_matrix(SP_PATH,""D_shortest_path_candidate"",pairs);strength,srows=read_matrix(S_PATH,""relation_strength"",pairs)",context,context_trace
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,6,"HF-05,freeze_distance_to_strength_transform,""""""s_ij = exp(-d_ij / ell_0)"""""",human_approved_frozen,approved,False,pass,f624663a0fdff100c9b435bcb877e980961b15be71758b9c33cc3045d11f0e4a,9b242d40f34d864e4c521d873e94b3bea8f07b573386e99d617cd320d483646a",artifact,artifact_column_presence
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,11,"HF-10,freeze_validation_matrix,""[""""source_selection_query_frozen"""", """"state_family_frozen"""", """"K_mode_frozen"""", """"ell0_frozen"""", """"epsilon_Gram_frozen"""", """"distance_to_strength_transform_frozen"""", """"theta_edge_frozen"""", """"kernel_subset_frozen"""", """"cluster_prot",artifact,artifact_column_presence
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,1,"row_pair_id,column_pair_id,relation_strength,lineage_bundle_sha256",artifact,artifact_column_presence
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",artifact,artifact_column_presence
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,9,"CREATE TABLE extract03a_r1_strength (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",context,context_trace
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/20_result_mart_schema_executed.sql,10,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",context,context_trace
strength,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,23,"run_output,15_strength_matrix.csv,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,726ad43e282095fea02e9bc0bd06c5f1771428c290b4633ddc9e18fc8f00cc75,output integrity,pass,23_lineage_and_hash_audit.csv self-hash excluded.,9b242",artifact,artifact_column_presence
strength,scripts/qsb_extract03/prepare_execution_package.py,14,"NAMES={""HF-01"":""freeze_psi_or_feature_state_family"",""HF-02"":""freeze_K_construction_mode"",""HF-03"":""freeze_ell0"",""HF-04"":""freeze_epsilon_Gram"",""HF-05"":""freeze_distance_to_strength_transform"",""HF-06"":""freeze_edge_threshold"",""HF-07"":""freeze_kernel_subset"",""HF-08"":",package_contract,contract_column_trace
strength,scripts/qsb_extract03/prepare_execution_package.py,64,"channels=[""raw_delta_phi"",""wrapped_delta_phi"",""cos_delta_phi"",""sin_delta_phi"",""abs_cos_delta_phi"",""phase_response_vector"",""K_candidate"",""d_cost_candidate"",""D_shortest_path_candidate"",""edge_strength_candidate"",""edge_candidate_flag"",""cluster_candidate_id"",""motif",package_contract,contract_column_trace
strength,scripts/qsb_extract03/prepare_execution_package.py,73,"dparts=[(""ell_0"",""parameter"",hf(""HF-03""),""model cost scale"",""positive and not L2 theta"",""cost-distance candidate""),(""epsilon_Gram"",""regularizer"",hf(""HF-04""),""dimensionless relative to normalized |K|"",""positive and <1"",""numerical regularizer only""),(""d_ij_defin",package_contract,contract_column_trace
strength,scripts/qsb_extract03/prepare_execution_package.py,75,"edgeparts=[(""theta_edge"",hf(""HF-06""),""future edge candidate"",""positive; frozen; not L2 theta""),(""edge_candidate_rule"",""edge_strength_candidate >= theta_edge"",""future K/d/D output"",""validate deterministic application""),(""edge_strength_source"",hf5,""future d cost",package_contract,contract_column_trace
strength,scripts/qsb_extract03/prepare_execution_package.py,106,"writecsv(""09_distance_cost_and_strength_contract.csv"",[""contract_id"",""quantity"",""formula_or_rule"",""frozen_parameter"",""unit_dimension_status"",""validation_requirement"",""claim_boundary"",""notes""],drows)",package_contract,contract_column_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,41,"""20_strength_unsorted_heatmap.png"", ""21_strength_split_sorted_heatmap.png"", ""22_strength_cluster_sorted_heatmap.png"",",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,44,"""29_strength_heatmap_metadata.json"", ""30_edge_heatmap_metadata.json"", ""FINAL_RESULT_NOTE.md"",",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,50,"""strength"": (A/""15_strength_matrix.csv"", ""relation_strength"", [FILES[19],FILES[20],FILES[21]], FILES[28]),",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,116,"elif matrix_id==""strength"": cmap=""viridis""; vmin=0.; vmax=1.",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,123,"display={""K"":""K candidate"",""d"":""d cost candidate"",""D"":""D shortest-path candidate"",""strength"":""relation strength"",""edge"":""accepted-edge flag""}[matrix_id]",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,171,"for matrix_id in [""K"",""d"",""D"",""strength"",""edge""]:",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,186,"metadata_file={""K"":FILES[25],""d"":FILES[26],""D"":FILES[27],""strength"":FILES[28],""edge"":FILES[29]}[matrix_id]",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,194,"""K_visualized"":readable[""K""],""d_visualized"":readable[""d""],""D_visualized"":readable[""D""],""strength_visualized"":readable[""strength""],""edge_visualized"":readable[""edge""],",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,195,"""K_recomputed"":False,""d_recomputed"":False,""D_recomputed"":False,""strength_recomputed"":False,""edge_recomputed"":False,",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,203,"for matrix_id in [""K"",""d"",""D"",""strength"",""edge""]:",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,235,"*[(f""{mid}_input_readable_or_gap_recorded"",readable[mid] or mid in metadata,True) for mid in [""K"",""d"",""D"",""strength"",""edge""]],",context,context_trace
strength,scripts/qsb_extract03_viz01/matrix_heatmap_visualization.py,292,"15 PNG heatmaps were created: K, d, D, strength, and edge views in three orderings each. Placeholders: {placeholders}.",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,43,"""18_strength_component_ordered_heatmap.png"",""19_edge_component_ordered_heatmap.png"",",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,45,"""22_d_component_ordered_metadata.json"",""23_D_component_ordered_metadata.json"",""24_strength_component_ordered_metadata.json"",",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,51,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"",FILES[17],FILES[23])}",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,108,"if matrix_id==""strength"":return ""viridis"",0.,1.",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,129,"label={""K"":""K candidate"",""d"":""d cost candidate"",""D"":""D shortest-path candidate"",""strength"":""relation strength"",""edge"":""accepted-edge flag""}[matrix_id]",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,179,"for matrix_id in [""K"",""d"",""D"",""strength"",""edge""]:",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,193,"for ax,matrix_id in zip(axes,[""K"",""d"",""D"",""strength"",""edge""]):",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,200,"panel_metadata={""panel_id"":""EXTRACT03-VIZ02-combined-component-panel"",""included_matrices"":[""K"",""d"",""D"",""strength"",""edge""],""ordering_mode"":""accepted-edge component order"",",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,211,"""K_recomputed"":False,""d_recomputed"":False,""D_recomputed"":False,""strength_recomputed"":False,""edge_recomputed"":False,""phase_vectors_reconstructed"":False,",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,220,"""row_label_status"":""canonical pair IDs"",""column_label_status"":""canonical pair IDs"",""value_status"":""finite stored values"" if readable[mid] else ""input_gap"",""blocking"":""no"",""notes"":""CSV source only; edge matrix from explicit accepted flags.""} for mid in [""K"",""d""",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,257,"*[(f""{mid}_input_readable_or_gap_recorded"",readable[mid] or mid in metadata,True) for mid in [""K"",""d"",""D"",""strength""]],",context,context_trace
strength,scripts/qsb_extract03_viz02/topology_organized_relational_matrix.py,268,"Topology-organized relational matrix view of the EXTRACT03A-R1 candidate structures. Rows and columns are ordered by connected components derived from already accepted candidate edges. The panel visualizes computed K, d, D, strength, and edge-presence matrices",context,context_trace
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,54,"""14_shortest_path_D_matrix.csv"", ""15_strength_matrix.csv"", ""16_edge_candidate_result.csv"",",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,253,strength = np.exp(-d / ELL_0),direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,254,"np.fill_diagonal(strength, 1.0)",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,255,edge = strength >= THETA_EDGE,direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,297,"validation(""strength"", ""range"", bool(np.min(strength) >= 0 and np.max(strength) <= 1 + 1e-12), f""{np.min(strength)}..{np.max(strength)}"", ""[0,1]"")",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,359,"write_csv(FILES[14], [""row_pair_id"", ""column_pair_id"", ""relation_strength"", ""lineage_bundle_sha256""], matrix_rows(strength, ""relation_strength""))",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,381,"CREATE TABLE extract03a_r1_strength (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,397,"for table, matrix in [(""extract03a_r1_K_candidate"",K),(""extract03a_r1_distance_cost"",d),(""extract03a_r1_shortest_path_D"",D),(""extract03a_r1_strength"",strength)]:",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",direct_generator,direct_column_contract
strength,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,421,"{""quantity"": ""K_candidate/strength"", ""unit"": ""dimensionless"", ""dimension_status"": ""candidate relation"", ""audit_status"": ""pass"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",direct_generator,direct_column_contract
strength,scripts/qsb_extract03b/result_review_human_summary.py,34,"""08_strength_and_edge_summary.csv"", ""09_split_summary.csv"",",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,106,"A / ""15_strength_matrix.csv"", A / ""16_edge_candidate_result.csv"",",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,160,"strength_rows, strengths, s_rids, s_cids, s_diag = matrix_review(""15_strength_matrix.csv"", ""relation_strength"")",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,200,strength_edge_summary = summary_rows([,context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,201,"(""strength_shape"", shape(s_rids, s_cids), ""pass"" if len(strength_rows) == 1764 else ""fail"", ""Stored strength matrix.""),",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,202,"(""strength_min"", min(strengths), ""review"", ""Stored relation-strength candidates.""),",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,203,"(""strength_max"", max(strengths), ""review"", ""Stored relation-strength candidates.""),",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,204,"(""strength_mean"", sum(strengths)/len(strengths), ""review"", ""Diagonal included.""),",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,298,"""strength_edges_reviewed"": True, ""clusters_reviewed"": True, ""motifs_reviewed"": True,",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,318,"write_csv(FILES[7], list(strength_edge_summary[0]), strength_edge_summary)",context,context_trace
strength,scripts/qsb_extract03b/result_review_human_summary.py,394,"Stored K, d, D, strength, edge, dendrogram, and motif-ID candidates were summarized without recomputation.",context,context_trace
strength,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,195,"""strength_matrix"":A/""15_strength_matrix.csv"",""edge_candidate_result"":A/""16_edge_candidate_result.csv"",",context,context_trace
strength,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,244,"D_rows=read_csv(pair_paths[""D_shortest_path_matrix""]); strength_rows=read_csv(pair_paths[""strength_matrix""])",context,context_trace
strength,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,247,"expected_counts=[(K_rows,1764),(d_rows,1764),(D_rows,1764),(strength_rows,1764),(edge_rows,861),(cluster_source_rows,41),(motif_source_rows,41)]",context,context_trace
strength,scripts/qsb_extract03c1_r1/bootstrap_stability_run_under_c0_c0b.py,381,"input_counts={""split_assignment"":42,""K_candidate_matrix"":1764,""d_cost_matrix"":1764,""D_shortest_path_matrix"":1764,""strength_matrix"":1764,""edge_candidate_result"":861,""cluster_candidate_result"":41,""motif_candidate_result"":41}",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,2,"""""""Review the stored K→strength→d→D→edge→component candidate chain.""""""",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,38,"""07_K_sign_structure_summary.csv"",""08_strength_block_mechanism_summary.csv"",""09_d_D_cost_alignment_summary.csv"",",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,48,"""strength"":(A/""15_strength_matrix.csv"",""relation_strength"")}",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,121,"for mid in [""K"",""K_abs"",""strength"",""d"",""D"",""edge""]:",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,135,"contrast_rows=[];expected={""K_abs"":""within > between"",""strength"":""within > between"",""d"":""within < between"",""D"":""within < between"",""edge"":""within > between""}",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,137,"for mid in [""K_abs"",""strength"",""d"",""D"",""edge""]:",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,156,strength_rows=[];cost_rows=[];edge_explanation=[];profiles=[],context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,159,"kval=matrices[""K""][np.ix_(ids,ids)][off];sval=matrices[""strength""][np.ix_(ids,ids)][off];dval=matrices[""d""][np.ix_(ids,ids)][off];Dval=matrices[""D""][np.ix_(ids,ids)][off];evals=edge[np.ix_(ids,ids)][off]",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,161,"strength_rows.append({""component_id"":cid,""component_size"":len(members),""within_strength_mean"":float(sval.mean()),""within_strength_std"":float(sval.std(ddof=0)),",context,context_trace
strength,scripts/qsb_extract03d/block_mechanism_review.py,162,"""within_strength_min"":float(sval.min()),""within_strength_max"":float(sval.max()),""accepted_internal_edge_count"":internal_edges,""possible_internal_edge_count"":possible,",context,context_trace
