path,line_number,excerpt,mentions_formula,mentions_normalization,mentions_same_abs_delta,mentions_distance_or_cost,mentions_threshold,assessment
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,399,"db.executemany(""INSERT INTO extract03a_r1_edge_candidate VALUES (?,?,?,?,?)"", [(r[""pair_a""],r[""pair_b""],float(r[""strength""]),r[""edge_candidate_flag""],lineage_bundle) for r in edge_rows])",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,421,"{""quantity"": ""K_candidate/strength"", ""unit"": ""dimensionless"", ""dimension_status"": ""candidate relation"", ""audit_status"": ""pass"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",false,false,false,false,false,documentation_candidate
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,422,"{""quantity"": ""d_cost/D_shortest_path"", ""unit"": ""model cost scale"", ""dimension_status"": ""candidate cost"", ""audit_status"": ""pass"", ""claim_boundary"": ""Not measured distance or proven geometry."", ""lineage_bundle_sha256"": lineage_bundle},",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,14,"NAMES={""HF-01"":""freeze_psi_or_feature_state_family"",""HF-02"":""freeze_K_construction_mode"",""HF-03"":""freeze_ell0"",""HF-04"":""freeze_epsilon_Gram"",""HF-05"":""freeze_distance_to_strength_transform"",""HF-06"":""freeze_edge_threshold"",""HF-07"":""freeze_kernel_subset"",""HF-08"":",false,false,false,false,true,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,64,"channels=[""raw_delta_phi"",""wrapped_delta_phi"",""cos_delta_phi"",""sin_delta_phi"",""abs_cos_delta_phi"",""phase_response_vector"",""K_candidate"",""d_cost_candidate"",""D_shortest_path_candidate"",""edge_strength_candidate"",""edge_candidate_flag"",""cluster_candidate_id"",""motif",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,65,"future={""K_candidate"",""d_cost_candidate"",""D_shortest_path_candidate"",""edge_candidate_flag"",""cluster_candidate_id"",""motif_candidate_id""}",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,73,"dparts=[(""ell_0"",""parameter"",hf(""HF-03""),""model cost scale"",""positive and not L2 theta"",""cost-distance candidate""),(""epsilon_Gram"",""regularizer"",hf(""HF-04""),""dimensionless relative to normalized |K|"",""positive and <1"",""numerical regularizer only""),(""d_ij_defin",true,true,false,true,true,formula_candidate
scripts/qsb_extract03/prepare_execution_package.py,75,"edgeparts=[(""theta_edge"",hf(""HF-06""),""future edge candidate"",""positive; frozen; not L2 theta""),(""edge_candidate_rule"",""edge_strength_candidate >= theta_edge"",""future K/d/D output"",""validate deterministic application""),(""edge_strength_source"",hf5,""future d cost",false,false,false,true,true,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,91,"validations=[""source_hash_replay"",""human_freeze_replay"",""schema_header_validation"",""unit_dimension_validation"",""K_hermiticity_validation"",""K_PSD_validation"",""d_cost_range_validation"",""D_shortest_path_validation"",""edge_candidate_validation"",""cluster_stability_v",false,false,false,true,false,documentation_candidate
scripts/qsb_extract03/prepare_execution_package.py,106,"writecsv(""09_distance_cost_and_strength_contract.csv"",[""contract_id"",""quantity"",""formula_or_rule"",""frozen_parameter"",""unit_dimension_status"",""validation_requirement"",""claim_boundary"",""notes""],drows)",false,false,false,true,false,documentation_candidate
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/09_tensor_schema_runtime_mapping.csv,7,"d_cost_candidate,-ell_0 log(abs(K)+epsilon_Gram),real,model cost scale,candidate cost,9b242d40f34d864e4c521d873e94b3bea8f07b573386e99d617cd320d483646a",false,false,false,true,false,documentation_candidate
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/15_strength_matrix.csv,1,"row_pair_id,column_pair_id,relation_strength,lineage_bundle_sha256",false,false,false,false,false,documentation_candidate
